lottoDateTh,lottoDateEn,drawNumber,drawType
25370502,19940502,535,2
25370502,19940502,317,3
25370502,19940502,170,4
25370502,19940502,521,5
25370502,19940502,69,6
25370516,19940516,2071764,1
25370516,19940516,093,2
25370516,19940516,544,3
25370516,19940516,535,4
25370516,19940516,746,5
25370516,19940516,29,6
25370601,19940601,3560804,1
25370601,19940601,474,2
25370601,19940601,564,3
25370601,19940601,989,4
25370601,19940601,164,5
25370601,19940601,17,6
25370616,19940616,1947355,1
25370616,19940616,302,2
25370616,19940616,583,3
25370616,19940616,524,4
25370616,19940616,669,5
25370616,19940616,53,6
25370701,19940701,6568267,1
25370701,19940701,372,2
25370701,19940701,902,3
25370701,19940701,868,4
25370701,19940701,445,5
25370701,19940701,39,6
25370716,19940716,5962891,1
25370716,19940716,424,2
25370716,19940716,686,3
25370716,19940716,628,4
25370716,19940716,622,5
25370716,19940716,74,6
25370801,19940801,3114057,1
25370801,19940801,396,2
25370801,19940801,149,3
25370801,19940801,026,4
25370801,19940801,758,5
25370801,19940801,85,6
25370816,19940816,6504760,1
25370816,19940816,303,2
25370816,19940816,724,3
25370816,19940816,897,4
25370816,19940816,677,5
25370816,19940816,28,6
25370901,19940901,6220893,1
25370901,19940901,891,2
25370901,19940901,718,3
25370901,19940901,949,4
25370901,19940901,701,5
25370901,19940901,67,6
25370916,19940916,4781931,1
25370916,19940916,046,2
25370916,19940916,255,3
25370916,19940916,164,4
25370916,19940916,886,5
25370916,19940916,88,6
25371001,19941001,7128442,1
25371001,19941001,623,2
25371001,19941001,251,3
25371001,19941001,229,4
25371001,19941001,243,5
25371001,19941001,23,6
25371016,19941016,7583048,1
25371016,19941016,165,2
25371016,19941016,294,3
25371016,19941016,428,4
25371016,19941016,024,5
25371016,19941016,79,6
25371101,19941101,1676779,1
25371101,19941101,110,2
25371101,19941101,365,3
25371101,19941101,096,4
25371101,19941101,840,5
25371101,19941101,76,6
25371116,19941116,6095849,1
25371116,19941116,504,2
25371116,19941116,902,3
25371116,19941116,225,4
25371116,19941116,816,5
